PID    | Hora Atual
942501 | 19:44:56.015
023522 | 19:44:56.015
150784 | 19:44:56.015
692873 | 19:44:56.015
734914 | 19:44:56.015
076381 | 19:44:56.016
464397 | 19:44:56.016
180846 | 19:44:56.016
232044 | 19:44:56.017
482944 | 19:44:56.017
862079 | 19:44:56.017
191094 | 19:44:56.017
621821 | 19:44:56.018
964889 | 19:44:56.018
275852 | 19:44:56.018
081434 | 19:44:56.019
789086 | 19:44:56.019
898647 | 19:44:56.019
958091 | 19:44:56.019
056164 | 19:44:56.020
332596 | 19:44:56.020
221803 | 19:44:56.020
804399 | 19:44:56.020
831962 | 19:44:56.020
136733 | 19:44:56.021
843494 | 19:44:56.021
769932 | 19:44:56.021
085037 | 19:44:56.021
482721 | 19:44:56.022
955261 | 19:44:56.022
476219 | 19:44:56.022
404753 | 19:44:56.022
235944 | 19:44:56.023
952882 | 19:44:56.023
598654 | 19:44:56.023
588041 | 19:44:56.023
474379 | 19:44:56.024
805415 | 19:44:56.024
215817 | 19:44:56.024
953426 | 19:44:56.024
268303 | 19:44:56.025
667416 | 19:44:56.025
994075 | 19:44:56.025
685803 | 19:44:56.025
236275 | 19:44:56.025
579896 | 19:44:56.026
023192 | 19:44:56.026
708920 | 19:44:56.026
176375 | 19:44:56.026
769091 | 19:44:56.027
641233 | 19:44:56.027
724301 | 19:44:56.027
663181 | 19:44:56.027
063070 | 19:44:56.028
513897 | 19:44:56.028
323631 | 19:44:56.028
126185 | 19:44:56.028
069885 | 19:44:56.029
738053 | 19:44:56.029
118339 | 19:44:56.029
339940 | 19:44:56.029
119100 | 19:44:56.030
051408 | 19:44:56.030
232302 | 19:44:56.030
352693 | 19:44:56.031
670214 | 19:44:56.031
981601 | 19:44:56.031
559124 | 19:44:56.032
545407 | 19:44:56.032
491364 | 19:44:56.032
844127 | 19:44:56.032
318997 | 19:44:56.032
273787 | 19:44:56.032
791414 | 19:44:56.032
935645 | 19:44:56.032
920574 | 19:44:56.033
967088 | 19:44:56.033
887736 | 19:44:56.033
461699 | 19:44:56.033
473090 | 19:44:56.034
918152 | 19:44:56.034
410348 | 19:44:56.034
803601 | 19:44:56.034
228664 | 19:44:56.035
763717 | 19:44:56.035
272565 | 19:44:56.035
659583 | 19:44:56.035
725692 | 19:44:56.036
889704 | 19:44:56.036
975934 | 19:44:56.036
938736 | 19:44:56.036
695731 | 19:44:56.036
080963 | 19:44:56.037
752861 | 19:44:56.037
505359 | 19:44:56.037
297374 | 19:44:56.037
253856 | 19:44:56.038
823095 | 19:44:56.038
669415 | 19:44:56.038
000306 | 19:44:56.038
764344 | 19:44:56.039
779593 | 19:44:56.039
335302 | 19:44:56.039
188950 | 19:44:56.039
454963 | 19:44:56.040
294691 | 19:44:56.040
742154 | 19:44:56.040
022011 | 19:44:56.040
374069 | 19:44:56.041
803785 | 19:44:56.041
684174 | 19:44:56.041
975244 | 19:44:56.041
167416 | 19:44:56.042
340220 | 19:44:56.042
659358 | 19:44:56.042
825543 | 19:44:56.042
377175 | 19:44:56.043
492394 | 19:44:56.043
885265 | 19:44:56.043
481497 | 19:44:56.043
434602 | 19:44:56.044
332730 | 19:44:56.044
168077 | 19:44:56.044
147525 | 19:44:56.044
651368 | 19:44:56.045
269631 | 19:44:56.045
663246 | 19:44:56.045
748237 | 19:44:56.045
942501 | 19:44:56.046
023522 | 19:44:56.046
150784 | 19:44:56.046
692873 | 19:44:56.046
734914 | 19:44:56.047
076381 | 19:44:56.047
464397 | 19:44:56.047
180846 | 19:44:56.047
232044 | 19:44:56.048
482944 | 19:44:56.048
862079 | 19:44:56.048
191094 | 19:44:56.048
621821 | 19:44:56.049
964889 | 19:44:56.049
275852 | 19:44:56.049
081434 | 19:44:56.049
789086 | 19:44:56.050
898647 | 19:44:56.050
958091 | 19:44:56.050
056164 | 19:44:56.050
332596 | 19:44:56.051
221803 | 19:44:56.051
804399 | 19:44:56.051
831962 | 19:44:56.051
136733 | 19:44:56.052
843494 | 19:44:56.052
769932 | 19:44:56.052
085037 | 19:44:56.052
482721 | 19:44:56.053
955261 | 19:44:56.053
476219 | 19:44:56.053
404753 | 19:44:56.053
235944 | 19:44:56.053
952882 | 19:44:56.054
598654 | 19:44:56.054
588041 | 19:44:56.054
474379 | 19:44:56.054
805415 | 19:44:56.055
215817 | 19:44:56.055
953426 | 19:44:56.055
268303 | 19:44:56.055
667416 | 19:44:56.056
994075 | 19:44:56.056
685803 | 19:44:56.056
236275 | 19:44:56.056
579896 | 19:44:56.057
023192 | 19:44:56.057
708920 | 19:44:56.057
176375 | 19:44:56.057
769091 | 19:44:56.058
641233 | 19:44:56.058
724301 | 19:44:56.058
663181 | 19:44:56.058
063070 | 19:44:56.059
513897 | 19:44:56.059
323631 | 19:44:56.059
126185 | 19:44:56.059
069885 | 19:44:56.060
738053 | 19:44:56.060
118339 | 19:44:56.060
339940 | 19:44:56.060
119100 | 19:44:56.061
051408 | 19:44:56.061
232302 | 19:44:56.061
352693 | 19:44:56.061
670214 | 19:44:56.062
981601 | 19:44:56.062
559124 | 19:44:56.062
545407 | 19:44:56.062
491364 | 19:44:56.063
844127 | 19:44:56.063
318997 | 19:44:56.063
273787 | 19:44:56.063
791414 | 19:44:56.064
935645 | 19:44:56.064
920574 | 19:44:56.064
967088 | 19:44:56.064
887736 | 19:44:56.065
461699 | 19:44:56.065
473090 | 19:44:56.065
918152 | 19:44:56.065
410348 | 19:44:56.065
803601 | 19:44:56.066
228664 | 19:44:56.066
763717 | 19:44:56.066
272565 | 19:44:56.066
659583 | 19:44:56.067
725692 | 19:44:56.067
889704 | 19:44:56.067
975934 | 19:44:56.067
938736 | 19:44:56.068
695731 | 19:44:56.068
080963 | 19:44:56.068
752861 | 19:44:56.068
505359 | 19:44:56.069
297374 | 19:44:56.069
253856 | 19:44:56.069
823095 | 19:44:56.069
669415 | 19:44:56.070
000306 | 19:44:56.070
764344 | 19:44:56.070
779593 | 19:44:56.071
335302 | 19:44:56.071
188950 | 19:44:56.071
454963 | 19:44:56.071
294691 | 19:44:56.071
742154 | 19:44:56.072
022011 | 19:44:56.072
374069 | 19:44:56.072
803785 | 19:44:56.072
684174 | 19:44:56.073
975244 | 19:44:56.073
167416 | 19:44:56.073
340220 | 19:44:56.073
659358 | 19:44:56.074
825543 | 19:44:56.074
377175 | 19:44:56.074
492394 | 19:44:56.074
885265 | 19:44:56.074
481497 | 19:44:56.074
434602 | 19:44:56.074
332730 | 19:44:56.074
168077 | 19:44:56.075
147525 | 19:44:56.075
651368 | 19:44:56.075
269631 | 19:44:56.075
663246 | 19:44:56.076
748237 | 19:44:56.076
942501 | 19:44:56.076
023522 | 19:44:56.076
150784 | 19:44:56.076
692873 | 19:44:56.077
734914 | 19:44:56.077
076381 | 19:44:56.077
464397 | 19:44:56.078
180846 | 19:44:56.078
232044 | 19:44:56.078
482944 | 19:44:56.078
862079 | 19:44:56.078
191094 | 19:44:56.079
621821 | 19:44:56.079
964889 | 19:44:56.079
275852 | 19:44:56.079
081434 | 19:44:56.080
789086 | 19:44:56.080
898647 | 19:44:56.080
958091 | 19:44:56.080
056164 | 19:44:56.081
